name,division,date_fallen,description,english_name,image_url
"סמל אליאב אסטיוקאר ז""ל","חטיבת הנח""ל","נפל בי""א בטבת התשפ""ה (11 בינואר 2025)","סמל אליאב אסטיוקאר, מאשדוד, לוחם בגדוד 931, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Eliav Astuker z""l",,https://idf.il/media/wixjz4bn/אליאב-אסטיוקאר.jpeg
"רס""ם (במיל') אלכסנדר פדורנקו ז""ל",חטיבת המחץ (14),"נפל בי""א בטבת התשפ""ה (11 בינואר 2025)","רס""ם (במיל') אלכסנדר פדורנקו, מבת ים, נהג משא כבד בגדוד 79, חטיבת 'המחץ' (14), נפל בקרב בצפון רצועת עזה, בן 37 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant major (res.) Alexander Fedorenko z""l",,https://idf.il/media/0pgktrpz/אלכסנדר-פדורנקו.jpeg
"סמ""ר דנילה דיאקוב ז""ל","חטיבת הנח""ל","נפל בי""א בטבת התשפ""ה (11 בינואר 2025)","סמ""ר דנילה דיאקוב, ממעלה אדומים, לוחם בגדוד 931, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 21 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Danila Diakov z""l",,https://idf.il/media/5ngovhg2/דנילה-דיאקוב-זל.jpeg
"סמל יהב מעיין ז""ל","חטיבת הנח""ל","נפל בי""א בטבת התשפ""ה (11 בינואר 2025)","סמל יהב מעיין, ממודיעין, לוחם בגדוד 931, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 19 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Sergeant Yahav Maayan z""l",,https://idf.il/media/saghwb03/יהב-מעיין-זל.jpeg
"סמ""ר נבו פישר ז""ל",עוצבת עקבות הברזל (401),"נפל בח' בטבת התשפ""ה (08 בינואר 2025)","סמ""ר נבו פישר, מברוכין, מפקד טנק בגדוד 46, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Nevo Fisher z""l",,https://idf.il/media/ctdlwa2v/whatsapp-image-2025-01-08-at-22-52-34.jpeg
"סמ""ר מתתיהו יעקב פרל ז""ל",עוצבת עקבות הברזל (401),"נפל בח' בטבת התשפ""ה (08 בינואר 2025)","סמ""ר מתתיהו יעקב פרל, מבית אל, לוחם שריון בגדוד 46, עוצבת עקבות הברזל (401), נפל בקרב בצפון רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Matityahu Ya’akov Perel z""l",,https://idf.il/media/kgnpsvtw/whatsapp-image-2025-01-08-at-21-00-57.jpeg
"סמ""ר קנאו קאסה ז""ל",עוצבת עקבות הברזל (401),"נפל בח' בטבת התשפ""ה (08 בינואר 2025)","סמ""ר קנאו קאסה מבית שמש, לוחם שריון בגדוד 46, עוצבת 'עקבות הברזל' (401), נפל בקרב בצפון רצועת עזה, בן 22 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Kenew Kasa z""l",,https://idf.il/media/nepkbahy/whatsapp-image-2025-01-08-at-21-43-02.jpeg
"סמ""ר עידו שמיח ז""ל","חטיבת הנח""ל","נפל בז' בטבת התשפ""ה (07 בינואר 2025)","סמ""ר עידו שמיח, מגני תקווה, סמל צוות בסיירת נח""ל, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 20 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

First sergeant Ido Samiach z""l",,https://idf.il/media/pvxidv2p/0288ab31-aa48-4818-87e4-f4f8aa012d57.jpeg
"רס""ן דביר ציון רווח ז""ל","חטיבת הנח""ל","נפל בו' בטבת התשפ""ה (06 בינואר 2025)","רס""ן דביר ציון רווח, מירושלים, מפקד פלוגה בגדוד 932, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 28 בנופלו.

הודעה נמסרה למשפחתו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Major Dvir Zion Revah z""l",,https://idf.il/media/msxm44co/דביר-ציון-רווח.jpg
"סרן איתן ישראל שכנזי ז""ל","חטיבת הנח""ל","נפל בו' בטבת התשפ""ה (06 בינואר 2025)","סרן איתן ישראל שכנזי, מעלי, סגן מפקד פלוגה בגדוד 932, חטיבת הנח""ל, נפל בקרב בצפון רצועת עזה, בן 24 בנופלו.

הודעה נמסרה למשפחתו.

הועלה מדרגת סגן לדרגת סרן לאחר מותו.

צה""ל משתתף בצער המשפחה וימשיך ללוותה.

Captain Eitan Israel Shiknazi z""l",,https://idf.il/media/lltop4w1/איתן-ישראל-שכנזי.jpg
